range,row,vigor_2020,anthracnose_2020,anthracnose_2021,leaf_hgt_2020
7,3,5,2.5,1.625,126.25
7,4,4.75,2.375,1.5,168.125
7,5,4.625,2.25,1.5,167.875
7,6,5,2,1,178.625
7,7,5,2,2,173.375
7,8,5,2,2.375,150.75
7,9,5,2,1.625,171.75
7,10,5,1.875,1.25,176.125
7,11,5,2,3.5,144.875
7,12,4.75,2.5,3.375,141.625
7,13,5,2,2.875,152.875
7,14,5,1.875,2.375,154.25
7,15,5,2,2.125,173.875
7,16,5,2,2.875,147.875
7,17,5,1.875,1.875,168.125
7,18,5,2.125,2.25,174
7,19,4.875,2,1.875,165.875
7,20,5,2,1.375,185
7,21,5,2,1.625,185.875
7,22,4.875,2.125,1.5,188
7,23,5,2,1.25,164
7,24,5,2,2.5,174.125
7,25,5,2,3,128.5
7,26,5,2.125,2.75,141
7,27,5,2,2.25,143.25
7,28,3,1.625,1.7142857142857142,123.375
7,29,5,2,2.375,117.625
7,30,5,2.25,1.75,180.25
7,31,5,2.5,2.5,181.5
7,32,5,2,2.75,137.25
7,33,4.75,2.5,2.125,160
7,34,5,2.125,2.25,148.75
7,35,5,2,2.375,156.25
7,36,5,2,2.5,142.125
7,37,5,2.125,1.375,146.625
7,38,5,2,2.625,131.125
7,39,4.875,2,1.625,129.625
7,40,4.875,2,2.875,129.125
7,41,4.75,2.25,2.75,132.25
7,42,5,2,2.375,124.5
7,43,5,2.125,1.5,165.25
7,44,4.75,2,1.875,165
7,45,4.875,2,1.375,150.375
7,46,4.875,2,2.75,159.625
7,47,4.875,2,2.5,120.75
7,48,4.875,2,2.25,106.375
7,49,4.75,2,2.75,170.25
7,50,5,2.125,1.75,156.625
7,51,5,2,2.5,116.875
7,52,4.625,2.125,3,147.75
7,53,5,2,2,151.57142857142858
7,54,5,2.25,3,149.875
7,55,4.875,2,2.75,116
7,56,4.625,2,1.75,143.5
7,57,4.5,2.125,2.75,109.375
7,58,5,2.125,2.875,169.125
7,59,5,2,1.375,137.75
7,60,5,2.125,2.5,160
7,61,4.625,2.125,2.75,101.375
8,1,4.375,2.75,2.75,158.375
8,2,4.375,2,3.5,116.375
8,3,4.5,2.375,2.125,165.625
8,4,4.875,2.25,2.5,130
8,5,4.875,2.625,1.5,168.25
8,6,4.25,2.125,1.25,159.42857142857142
8,7,4.75,2,1.5,166.875
8,8,5,2.125,1.625,161.75
8,9,5,2.125,1.75,182.375
8,10,4.875,2.125,1,174.875
8,11,4.875,2,1.75,175.875
8,12,4.875,2,2.875,132.625
8,13,5,2.125,2.625,146
8,14,5,2,2,186.875
8,15,5,2.25,2.375,187.75
8,16,5,2.125,2.75,171.375
8,17,5,2.125,2.625,133.125
8,18,4.25,2.75,3.142857142857143,139.71428571428572
8,19,5,2.25,3.875,126.375
8,20,4.875,2.375,3.625,150.25
8,21,5,2,2.875,135.5
8,22,5,2,1.25,165.75
8,23,4.875,2,2.875,144.375
8,24,5,2,2.25,164.625
8,25,5,2,3.875,139
8,26,5,2,1.75,156.5
8,27,4.875,2.125,2,170.75
8,28,4.75,2,1.25,161.375
8,29,5,2.25,2.125,177
8,30,4.625,2,1.875,107
8,31,5,2,1.75,169.875
8,32,5,2,2.5,131.625
8,33,5,2.25,2,168.625
8,34,5,2,2.375,117.625
8,35,4.875,2,2.5,114.375
8,36,5,2,1.875,158.375
8,37,4.875,2.125,1.5,154.75
8,38,5,2,2.375,163.75
8,39,4.375,2.125,2,159.125
8,40,5,2,1.5,144.75
8,41,4.875,1.875,1.375,145.5
8,42,4.875,2,2.125,163.375
8,43,5,2,1.375,153.125
8,44,5,1.875,2.125,173.5
8,45,4.75,2,2.75,120.75
8,46,4.875,2,1.75,139.25
8,47,5,2,2.5,164.5
8,48,5,2.25,2.5,167.25
8,49,5,2,2.5,109.5
8,50,4.625,1.875,1.75,162
8,51,5,2,1.625,157
8,52,5,2,2.375,114.125
8,53,4.857142857142857,2,2.142857142857143,151.57142857142858
8,54,4.75,2.125,2.5,143.625
8,55,4.375,2.375,2.5,100.625
8,56,5,2,2.125,154
8,57,4.5,2.25,2.625,132.625
8,58,4.833333333333333,2,2.3333333333333335,141.83333333333334
8,59,5,2,1.875,157.625
8,60,5,2,3.125,121.625
8,61,4.875,2,2.125,113.625
9,1,4.5,2.25,2.25,115.75
9,2,4.5,2.125,2,147.125
9,3,4.125,2.375,1.625,153.625
9,4,4.5,2.75,2.125,148.375
9,5,4.75,2,1.125,142.75
9,6,4.875,2,1.5,178.375
9,7,5,2,2.125,135.375
9,8,5,2,1.875,165.25
9,9,5,2.25,2.375,128.625
9,10,4.571428571428571,2.142857142857143,1.2857142857142858,169.85714285714286
9,11,5,2.125,1.75,171.625
9,12,5,1.875,2.125,128.5
9,13,5,2,2.375,150.25
9,14,5,2,2.875,191
9,15,5,2,3,142.125
9,16,5,2,3.125,145.625
9,17,4.875,1.875,2,170.75
9,18,5,2.25,1.5,158.875
9,19,4.625,2.125,2,121
9,20,4,2,1.7142857142857142,147.57142857142858
9,21,4.875,2.25,2.125,185.75
9,22,4.875,2.125,1.375,171.875
9,23,5,2,2,173.25
9,24,5,2,1.125,187.625
9,25,5,2.125,2.125,144.875
9,26,5,2,2.625,130.5
9,27,5,2.25,2.75,165.875
9,28,5,2.125,1.875,168.125
9,29,5,2,2,137.25
9,30,4.75,2.25,1.625,161.125
9,31,5,2.125,1.375,162.5
9,32,4.625,2,1.5,159
9,33,4.875,2.25,2.25,155.125
9,34,5,2,1.875,155.875
9,35,4.875,2,1.625,165.25
9,36,4.75,2,1.5,156
9,37,5,2,1.5,155.875
9,38,5,2,1.75,157.75
9,39,4.875,2,1.5,131.5
9,40,4.5,2,2.25,136
9,41,4.875,2,2.25,140.625
9,42,5,2.125,1.5,175.125
9,43,5,2,3,116.375
9,44,5,2,2.5,122.125
9,45,4.75,2,2.875,107.875
9,46,4.875,2.125,2.125,151.75
9,47,4.75,2,1.875,135.375
9,48,5,2,1.625,130.25
9,49,5,2.25,1.5,148.25
9,50,4.625,2,1.875,124.75
9,51,4.875,2.125,2.125,148.625
9,52,5,2,1.875,154.625
9,53,5,2,2.125,152.125
9,54,5,2,1.875,126.625
9,55,4.875,2,1.625,145.125
9,56,3.4,2.2,1.2,74
9,57,4.75,2,1.25,135.5
9,58,4.857142857142857,2,2,161.71428571428572
9,59,5,2,1.75,153.25
9,60,4.75,2,1.875,116.375
9,61,4.75,2,2.5,110.5
10,1,4.75,2.25,1.5,139.875
10,2,4.375,2.5,3.125,110.25
10,3,5,2.125,2.375,113.875
10,4,5,2.25,1.375,156.875
10,5,4.625,2.125,2.25,134.375
10,6,4.875,2.125,1.625,139.75
10,7,4.875,2,3.25,122.25
10,8,5,1.5,2.375,129.125
10,9,5,2.125,2.25,174.5
10,10,5,2.375,2.875,175.25
10,11,4.875,1.875,2.75,128.25
10,12,5,1.875,1.625,169.25
10,13,4.875,2,1.25,160.125
10,14,5,2,1.75,174.625
10,15,4.875,2.125,2.75,145.625
10,16,5,2,3.25,135.375
10,17,4.125,1.875,1,145.375
10,18,5,2,1.75,115.5
10,19,5,2.125,2.125,153.125
10,20,5,2,1.875,169.375
10,21,4.875,2.125,2.125,171.625
10,22,4.714285714285714,2.2857142857142856,1.75,134
10,23,4.875,2,2,140.75
10,24,5,2,1.375,168.125
10,25,5,2,1.875,167.125
10,26,5,2,2.875,126.375
10,27,5,2,2.625,118.75
10,28,5,2,1.75,165
10,29,4.875,2,1.375,165.5
10,30,5,2,1.625,169.25
10,31,5,2.125,3,136.125
10,32,4.875,2,2.375,133.125
10,33,4.875,2,1.625,156.75
10,34,4.75,2,1.375,165.375
10,35,4.875,2.375,2.375,165.625
10,36,4.875,2,2.5,126.375
10,37,5,2,1.375,155.375
10,38,5,2,2,158.375
10,39,4.875,1.875,1.125,154.5
10,40,5,2,1.75,123.5
10,41,4.5,2.25,2,151.75
10,42,4.875,2,1.875,134
10,43,4.375,2.25,1.5,124.75
10,44,4.875,2.125,2.125,162.125
10,45,4.875,2,3.125,117.125
10,46,4.75,2,2.5,118.25
10,47,5,2,1.875,129.75
10,48,5,2,1.375,134.375
10,49,5,2,1.875,148.125
10,50,4.75,2,1.25,153.875
10,51,4.75,2,1.5,172.75
10,52,5,2,2.75,121.125
10,53,5,2.125,2.625,160.25
10,54,4.875,2,2,157.875
10,55,5,2,2.125,150.75
10,56,5,2,2.125,156.75
10,57,4.5,2,2,133.625
10,58,5,2,3.125,119.5
10,59,5,2,2.125,111.75
10,60,4.875,2,2.375,155.125
10,61,4.875,2,2.125,129.625
11,1,4.875,1.875,1.625,131.625
11,2,3.857142857142857,2.142857142857143,2,146.57142857142858
11,3,4.625,2.125,1.25,139
11,4,4.875,2.125,1.375,160.125
11,5,4.75,2.375,2.5,127.375
