blk,old_plant_no,ecotype,rep,row,rng,hs
MLB,1,LL,1,42,2,136
MUB,44,UL,1,42,3,89
PUB,3,UL,2,42,4,3
MLB,20,LL,2,42,5,155
MLB,7,LL,2,42,6,142
PUB,24,UL,3,42,7,24
PLB,45,LL,3,42,8,135
MLB,24,LL,3,42,9,159
PUB,41,UL,4,42,10,41
MUB,9,UL,4,42,11,54
MUB,21,UL,4,42,12,66
MUB,17,UL,1,43,1,62
MUB,30,UL,1,43,2,75
PLB,19,LL,1,43,3,109
MLB,23,LL,2,43,4,158
MUB,29,UL,2,43,5,74
MLB,5,LL,2,43,6,140
MUB,2,UL,3,43,7,47
MUB,3,UL,3,43,8,48
PUB,32,UL,3,43,9,32
MLB,3,LL,4,43,10,138
PLB,1,LL,4,43,11,91
PUB,29,UL,4,43,12,29
PUB,45,UL,1,44,1,45
MLB,7,LL,1,44,2,142
PUB,1,UL,1,44,3,1
PUB,13,UL,2,44,4,13
PUB,18,UL,2,44,5,18
PLB,34,LL,2,44,6,124
MLB,1,LL,3,44,7,136
MLB,11,LL,3,44,8,146
MUB,16,UL,3,44,9,61
PLB,21,LL,4,44,10,111
MUB,25,UL,4,44,11,70
PUB,13,UL,4,44,12,13
MUB,21,UL,1,45,1,66
MLB,6,LL,1,45,2,141
MLB,14,LL,1,45,3,149
PUB,41,UL,2,45,4,41
MLB,12,LL,2,45,5,147
MUB,23,UL,2,45,6,68
MUB,43,UL,3,45,7,88
MUB,12,UL,3,45,8,57
PUB,8,UL,3,45,9,8
PUB,36,UL,4,45,10,36
MLB,40,LL,4,45,11,175
MUB,24,UL,4,45,12,69
MUB,13,UL,1,46,1,58
PLB,20,LL,1,46,2,110
NA,NA,UL,1,46,3,CHECK_Carth
NA,NA,UL,2,46,4,CHECK_Carth
PUB,32,UL,2,46,5,32
MUB,35,UL,2,46,6,80
MLB,28,LL,3,46,7,163
PUB,10,UL,3,46,8,10
PLB,20,LL,3,46,9,110
PUB,35,UL,4,46,10,35
PLB,40,LL,4,46,11,130
PUB,38,UL,4,46,12,38
MUB,37,UL,1,47,1,82
MUB,42,UL,1,47,2,87
PUB,4,UL,1,47,3,4
MLB,40,LL,2,47,4,175
PUB,28,UL,2,47,5,28
